,paper_id,paper_title,cmt_id,cmt_title,cmt_signatures,cmt_content,cmt_category,cmt_sentiment,arxiv_cdate,cmt_cdate,arxiv_availability
20,Loek7hfb46P,Fast Sampling of Diffusion Models with Exponential Integrator,F1aYS86qWAU,Thank you for comparing with DPM-Solver!,['~Cheng_Lu5'],"I highly appreciate it that the authors discuss the comparison between DPM-Solver and DEIS in Appendix B. These two works are concurrent and coincidently use the same technique called ""exponential integrators"" for accelerating the sampling by diffusion models. 

However, despite the similarity, I think these two works have many differences, and some of the claims in Appendix B about DPM-Solver seem inaccurate. It would be much perfect if the authors could clarify the comparisons.

Below I list some of my concerns. As I did not fully understand this paper, it may have some mistakes. I would appreciate it if the authors could address the following questions and discuss the differences more.

## 1. DPM-Solver is not the special case of $\rho$RK-DEIS.
The $\rho$RK-DEIS uses a change-of-variable for time from $t$ to $\rho$, and for data from $x_t$ to $y_t$. Such change-of-variable makes the diffusion ODE become a pure ODE w.r.t. the noise prediction model. Then the author uses the classical Runge-Kutta methods to solve such ODE and name it as $\rho$RK-DEIS.

However, DPM-Solver uses a change-of-variable from $t$ to the log-SNR $\lambda=\log\alpha_t - \log\sigma_t$. Such a change-of-variable method is **another key contribution** of DPM-Solver because:
- It provides a very simplified formulation of the exact solution of diffusion ODEs and makes the sampling by diffusion ODEs invariant to the noise schedule (please see Appendix A in DPM-Solver for details).
- Because of such change-of-variable, the coefficients in the Taylor expansion are all **analytical** and can be exactly computed. (the coefficients are something like $\int e^{-\lambda}\lambda^k d\lambda$ and can be computed by repeatedly applying $k$ times of integration-by-parts method (and we have provided the detailed coefficients in the Appendix). 

Moreover, on CIFAR-10 with continuous-time diffusion models, the FID results of DPM-Solver are also quite different from the $\rho$RK-DEIS. In fact, **the results of DPM-Solver are much better than those of $\rho$RK-DEIS**.

Therefore, as $\rho$RK-DEIS uses a different change-of-variable, it is essentially different from DPM-Solver. And I think the detailed updating equations of $\rho$RK-DEIS are different from those of DPM-Solver. Therefore, I don't think DPM-Solver is a special case of DEIS.

## 2. DPM-Solver can also accelerate the log-likelihood evaluation
As far as I understand, DEIS accelerates the log-likelihood evaluation by only accelerating the computation of the samples. As DPM-Solver can also accelerate the sampling, I still believe that, in principle, DPM-Solver (and all of the other fast samplers) can further accelerate the log-likelihood evaluations.

==============

In conclusion, I think the contributions of DPM-Solver are more than just applying the exponential integrators. It would be great if the authors could discuss and compare more about the differences. Thank you!",inaccurate description,-1,2022-04-29 06:32:38+00:00,2022-11-09 13:12:49+00:00,True
21,F8VKQyDgRVj,Neural Compositional Rule Learning for Knowledge Graph Reasoning,_dkKyftBj7,Is there data leakage in the evaluation?,['~Zhaocheng_Zhu1'],"I quite appreciate the novel idea of this paper. However, it looks like there is a data leakage problem in the evaluation.

In the supplementary material `code/kg_completion_fast.py`, line 186 creates `r2mat` by merging facts, train, validation and test triplets. This matrix is used as the grounding for rule inference in `RuleDataset`. To my understanding, if the model learns some identical rules that copy any rule body to predict its rule head, the model will exploit this data leakage and can easily achieve perfect prediction.

Besides, I only found the fact triplets are flipped in the code. The standard KGC evaluation requires to predict both $(h, r, ?)$ and $(?, r, t)$, which is used by all the baselines in this paper. Only evaluating $(h, r, ?)$ usually results in higher performance. Can the author confirm if they have flipped the training / validation / test triplets?",problematic empirical evaluation,-2,,2022-11-07 04:23:10+00:00,False
22,Cs3r5KLdoj,"Learning MLPs on Graphs: A Unified View of Effectiveness, Robustness, and Efficiency",hjesGjoXi8z,about the position embedding for test nodes in inductive setting,['~Hui_Xu4'],"For inductive setting, the position embeddings of test nodes are generated by aggregation, which leveraged the topology information during inference. However, glnn has not utilized topology information during inference. Whether is it a little unfair for glnn in your experiment?",problematic empirical evaluation,-2,,2022-11-17 13:33:35+00:00,False
23,kDEL91Dufpa,On the duality between contrastive and non-contrastive self-supervised learning,adCfaS8Xs70,Please comment on relation to https://arxiv.org/abs/2008.01064,['~Jason_D._Lee1'],"I think there should be some discussion of https://arxiv.org/abs/2008.01064 . Our work already established an equivalence between contrastive and non-contrastive and a way to give a unified theoretical analysis, predating this paper by 2 years.",questionable contribution,-1,2022-06-03 08:04:12+00:00,2022-11-06 19:39:26+00:00,True
24,dLAYGdKTi2,Mitigating Gradient Bias in Multi-objective Learning: A Provably Convergent Approach,YFJu-LUtEn2,Severe Problems  with This Paper,['~Yuchen_Luo3'],"The article has severe problems in the following aspects, where the correctness of both analysis and experiments does not meet current scores:

1. The result of the convex case (Theorem 1) is wrong, due to the definition where the  $\lambda^*(x_k)$  is adaptive to the solution while the  $x^*$  is defined globally. I have studied this problem for a long time before. I have considered this metric, but found that it has serious problems. Specifically, if we choose  $x^*$  as the optima for  $\lambda^*(x_k) F(x)$, then it could happen that  $\lambda^* (x_j) (F(x_j)−F(x^*))\leq0,j\neq k$ because  $x^*$  is not the optima for $\lambda^*(x_k) F(x)$. Therefore, this metric can not measure the Pareto suboptimality because it may be zero for non-optimal decisions, thus is wrong to analyze Pareto optimality. For example, if $F(x) = (||x-a||\_2\^2,||x-b||\_2\^2)$ where $a=(1,0),b=(-1,0)$, and consider a sequence $x_{2i-1}=(1,1), x_{2i}=(-1,1),i=1,2,\ldots,\frac{K}{2}$, then we have $F(x_{2i-1}) = (1,5),\nabla F(x_{2i-1}) = ((0,2),(4,2))$ and $F(x_{2i-1}) = (5,1),\nabla F(x_{2i-1}) = ((-4,2),(0,2))$. We can calculate that $\lambda^*(x_{2i-1}) = (1,0)$ and $\lambda^*(x_{2i}) = (0,1)$, and next get $\frac{1}{K}\sum_{k=1}^K\lambda^*(x_k) (F(x_k)−F(x^*)) = \frac{1}{K}\sum_{k=1}^K\lambda^*(x_k) (F(x_k)−F(x^*)) = 1-\frac{1}{2}||x^*-a||\_2\^2-\frac{1}{2}||x^*-b||\_2\^2\leq 0$ (the equation is when $x^*=(0,0)$). Note that here the metric is bounded, but the solutions in the sequence are obviously not Pareto optimal. The correct formulation should be $\frac{1}{K}\sum_{k=1}^K\lambda^*(x_k) (F(x_k)−F(x_k^*))$ where $x_k^* = \arg\min_{x} \lambda^*(x_k) F(x)$, or just to bound $\lambda^*(x_k) (F(x_k)−F(x^*)),\forall x^*$ without the average scheme. Current results can analogize to the intermediate result in Lemma 4.2 (average scheme) in [1], but [1] provides complete convergence result in Theorem 4.1. In addition, the average scheme in single-objective stochastic optimization can always be transferred to the traditional version [2,3], which is why the average scheme is meaningful for proving convergence. However, Theorem 1 in this paper can not reduce to the traditional version, which causes the bound for the summation  $\frac{1}{K}\sum_{k=1}^K\lambda^*(x_k) (F(x_k)−F(x^*))$  meaningless to reveal convergence information for solution  $x_k$.

2. I have also followed the version submitted in NeurIPS 2022. The experimental results are exactly the same, but the algorithm and parameters setting have been changed a lot. Therefore, the experimental results are not trustworthy.

3. I have followed this area for a long time, and found that there is a related work [4] in NeurIPS 2022. The convergence results in [4] are aligned with single-objective sgd, but the rate in this paper is much slower. Could the authors provide a more detailed comparison with [4]?

[1] Fliege et al. Complexity of gradient descent for multiobjective optimization

[2] Cutkosky et al. Momentum-based variance reduction in non-convex sgd. 

[3] Drori et al. The complexity of finding stationary points with stochastic gradient descent. 

[4] https://openreview.net/forum?id=ScwfQ7hdwyP",crucial incorrectness,-2,,2022-11-19 07:06:54+00:00,False
25,wEP-3nECiUE,Pushing the limits of self-supervised learning: Can we outperform supervised learning without labels?,VxK6WktJYAC,Discussion regarding large overlap with our prior work,['~Chaitanya_Ryali1'],"Dear authors, 

Thanks for citing our prior work [1] as having previously used background augmentations (BG Augs). Given the large overlap with our prior work (detailed below), we feel a more detailed discussed in your work is warranted.

Some examples of core contributions of your work that overlap with our prior work:

1) Adapting DeepUSPS to produce an unsupervised saliency model and using it for BG Aug
2) Showing BG Aug can benefit multiple SSL methods
3) Characterizing the impact of mask quality and studying mask corruptions
4) Showing BG Aug can improve multiple downstream tasks, especially in distribution-shift settings and improved label efficiency

Beyond these, our work investigated many variants of BG Augs across SSL methods (MoCov2, BYOL, SwAV, DINO), training durations, architectures (CNNs, ViTs), saliency methods and in numerous downstream and distribution shift-settings. We also studied when and how BG Augs can provide benefits. Of particular note, 

1) we were able to achieve performance *on-par* with the standard supervised baseline on ImageNet, when BG Aug is used together with SwAV,
2) though self-supervised ViTs (e.g. DINO) are known to be particularly good at separating foreground and background, we’ve shown [2] *even ViTs*  benefit from a similarly large boost in performance by using BG Augs

Thanks, 

Chay, David, Ari


1. Characterizing and Improving the Robustness of Self-Supervised Learning through Background Augmentations, Ryali, Schwab, Morcos, arxiv, 2021
2. Learning Background Invariance Improves Generalization and Robustness in Self Supervised Learning on ImageNet and Beyond,  Ryali, Schwab, Morcos, ImageNet PPF Workshop, NeurIPS 2021,  https://slideslive.com/38974549",missing or wrong reference,0,,2022-11-17 01:34:16+00:00,False
26,T5nUQDrM4u,Sparse Upcycling: Training Mixture-of-Experts from Dense Checkpoints,d-4q7HbCrO,Exsiting work using dense checkpoint to train MoE,['~Lemeng_Wu1'],"Dear Authors and Reviewers

Thank you for presenting and reviewing this interesting work. I would like to bring your attention to the highly relevant work Residual Mixture of Experts [1], which has not been discussed or cited.

Residual Mixture of Experts proposes a training pipeline using the dense model checkpoint pretrained on ImageNet22k to expand the MoE model and further finetune the downstream tasks like segmentation or detection for better performance and similar training time compared with dense model. We copy the MLP module into k copies as the MoE initialization and propose our receipt for a better tuning for this expanded model on the downstream task. 

It is interesting that this work extends this setup into extremely large-scale benchmarks and gets new findings in different aspects, however, since [1] is shown on arxiv for nearly half-year before the ICLR deadline, I do not think it is a co-current work that does not need to cite and discuss at all in this paper. 

[1] Residual Mixture of Experts

Lemeng Wu, Mengchen Liu, Yinpeng Chen, Dongdong Chen, Xiyang Dai, Lu Yuan

https://arxiv.org/abs/2204.09636",missing or wrong reference,0,2022-12-09 18:57:37+00:00,2022-11-08 11:33:26+00:00,False
27,JLg5aHHv7j,(Certified!!) Adversarial Robustness for Free!,8fAlUCteQd,More baselines can be included,['~Linyi_Li1'],"Dear authors,

It is a great work that shows large diffusion models can work as denoisers to bring certified robustness! Thanks for all the efforts. Maybe this paper can be benefited from comparing with one published baseline:

[1] (our DRT framework for certified training) Yang, Zhuolin, et al. ""On the certified robustness for ensemble models and beyond."" ICLR 2022.

Furthermore, the robustness guarantees may be converted and thus compared with strong baselines against $\ell_\infty$-bounded attacks [2,3]:

[2] Zhang, Bohang, et al. ""Boosting the certified robustness of l-infinity distance nets."" ICLR 2022.

[3] Shi, Zhouxing, et al. ""Fast certified robust training with short warmup."" NeurIPS 2021.
",missing or wrong reference,0,2022-06-21 17:27:27+00:00,2022-11-06 08:00:29+00:00,True
28,JLg5aHHv7j,(Certified!!) Adversarial Robustness for Free!,ANEMacIh1b5,terminologies,['~Yijiang_Pang1'],"Dear authors,
It is a very good work. Since the score-based input purification models can practically induce adv-robustness also mentioned by the paper, the boundaries become blurred. But, it may help us understood the work better if the differences of some terminologies can be emphasized. Such as,
probabilistic certified robustness VS (general) certified robustness,
adversarial robustness under random noise VS (worst-case) adversarial robustness under adv-attack. 

",compliment,2,2022-06-21 17:27:27+00:00,2022-11-09 16:38:20+00:00,True
29,oze0clVGPeX,Exploring the Limits of Differentially Private Deep Learning with Group-wise Clipping,_2bV6o767g,Deep concerns about the experiments,['~Zhiqi_Bu1'],"Hi, I like the idea of group-wise clipping but I am concerned that the experiments are unfair and misleading. Please correct me if I miss anything. I put together a list of questions here, specifically for the per-layer clipping:

1. Per-layer clipping, even with adaptive thresholds, does not match the standard flat clipping. This renders your claim in the abstract ""(Adaptive per-layer clipping) attaining similar or better task performance within *less wall time*"" invalid. This is particularly obvious in Section 5.2 GLUE tasks. In Table 3, adaptive per-layer clipping uses **20 epochs** to get 92.40% accuracy but Li et al. (2022b) gets 92.09% using **3 epochs**. This comparison is confusing: you should either run adaptive per-layer clipping with 3 epochs to compare accuracy under the similar wall time, or run Li et al.'s method with 20 epochs for fair comparison.

2. Li et al. (2022b) results are **significantly under-reported in Table 3** for both Roberta-base and Roberta-large. I cite the original results from Table 1 (https://arxiv.org/pdf/2110.05679.pdf) here, for epsilon=3:
|                  | MNLI         | QQP    | QNLI   | SST2  |   |
|---------|----------|--------|--------|-------|---|
| full             | 82.47/82.10  | 85.41  | 84.62  | 86.12 |   |
| full + infilling | 82.45/82.99  | 85.56  | 87.42  | 91.86 |   |

The authors only cite the first row whereas the second row is SOTA. To clarify, the authors should highlight that infilling is not used in the main text and experiment adaptive per-layer clipping with infilling, instead of simply comparing to a weaker baseline.

3. The results in **Table 3 and Table 4 are contradicting each other**: for SST2 and Roberta-base, the adaptive per-layer with 20 epochs gets 92.03/92.40% in Table 3 but 91.57/91.96 in Table 4.

4. The methods compared in Table 3 are not of the same category.  In Table 3, Yu et al. (2021b), Li et al. (2022b), and adaptive per-layer train 100% model parameters, whereas Yu et al. (2022) is the only method that trains a subset of parameters using DP LoRA. I am not sure the comparison is meaning full. What about running per-layer clipping for DP LoRA? This should at least be clarified so readers can understand the difference.

5. For per-device clipping, the authors are using DP LoRA to train only a small fraction of 175B GPT3. Can the authors state how many trainable parameters are optimized? My estimate is that only millions of parameter are trained so the contribution may be less significant than it seems.",problematic empirical evaluation,-2,2022-12-03 05:20:15+00:00,2022-11-15 21:12:56+00:00,False
30,TqCHPi7xlV,Language Modeling Using Tensor Trains,OO6aBsPztg,Missing references,['~Guillaume_Rabusseau1'],"The authors seem to have missed important references where the fact that TTLM generalize linear second order RNN has been discussed and proved: [1] and [2] (see Figure 2 and Eq 2 in [1] and Section 3 in [2] where the equivalence between WFA ---which are equivalent to second order RNN with linear activation functions--- and TT is extensively discussed).

[1] Rabusseau, Guillaume, Tianyu Li, and Doina Precup. ""Connecting weighted automata and recurrent neural networks through spectral learning."" The 22nd International Conference on Artificial Intelligence and Statistics. PMLR, 2019.

[2] Li, Tianyu, Doina Precup, and Guillaume Rabusseau. ""Connecting weighted automata, tensor networks and recurrent neural networks through spectral learning."" Machine Learning (2022): 1-35.",missing or wrong reference,0,,2022-11-06 14:42:38+00:00,False
31,AHvFDPi-FA,Diffusion Policies as an Expressive Policy Class for Offline Reinforcement Learning,6WgtZxntTcY,Question about the combination with the RL policy,['~Yinuo_Zhao1'],"Although the combination of generative method with RL policy is not a new idea [1,2], this paper added the SOTA generative model with the offline DRL as a novel policy regularizer and achieved better result in D4RL benchmark. I wonder if there are more possibilities to combine diffusion models with online DRL, like that in ""Parrot"" [1]. Specifically, is it possible to compute the logP(a|s) with diffusion models? If true, we can use the log_probs to compute some surrogate objectives in DRL policy updating.


[1] Avi Singh*, Huihan Liu*, Gaoyue Zhou, Albert Yu, Nicholas Rhinehart, Sergey Levine. Parrot: Data-Driven Behavioral Priors for Reinforcement Learning International Conference on Learning Representations (ICLR), 2021.

[2] Yunzhu Li, Jiaming Song, and Stefano Ermon. Infogail: Interpretable imitation learning from visual demonstrations. In Advances in Neural Information Processing Systems, 2017.",general question,0,2022-08-12 09:54:11+00:00,2022-11-17 02:31:57+00:00,True
32,JLR_B7n_Wqr,Latent Graph Inference using Product Manifolds,yZ4N4xiX10,Misattribution of datasets,['~Benedek_Andras_Rozemberczki1'],"The paper misattributed the authorship of the Chameleons and Squirrels datasets. These datasets were proposed in this ICLR submission:

https://openreview.net/forum?id=HJxiMAVtPH

The Pei et al. paper cited by the authors took the Squirrel and Chameleons datasets and used those for benchmarking, but had nothing to do with the creation of the datasets. The correct citation for the paper which proposed the datasets is:

```bibtex
>@article{musae,
          author = {Rozemberczki, Benedek and Allen, Carl and Sarkar, Rik},
          title = {{Multi-Scale Attributed Node Embedding}},
          journal = {Journal of Complex Networks},
          volume = {9},
          number = {2},
          year = {2021},
}
```",missing or wrong reference,0,2022-11-26 22:13:06+00:00,2022-11-05 20:25:42+00:00,False
33,kDSmxOspsXQ,Boosting the Cycle Counting Power of Graph Neural Networks with I$^2$-GNNs,O4KPIvNklN,Questions about the claimed linear complexity,['~Yuxin_Dong2'],"Dear authors,

Thanks for your efforts in presenting this interesting work. However, I have the following questions that confuse me a lot and that I found the reviewers have not yet asked. So I think I should post them here as it may be helpful to the community:
- The authors claimed that ""to the best of our knowledge, it is the first linear-time GNN model that can count 6-cycles with theoretical guarantees"". However, such a statement is definitely wrong. The proposed subgraph GNN has to enumerate all pair of adjacent nodes and perform message-passing for each pair (see Equation 6), which results in **a complexity equal to $m$ MPNNs** where $m$ is the number of edges in a graph. Therefore, the computational cost should be $O(m(n+m))$, namely $O(m^2)$ for a graph with $n$ nodes and $m$ edges. In other words, the computational complexity scales in proportional to the **square** of the number of edges or the **quartic** of the number of nodes. This cost can even be larger than 3-WL. Even in the bounded degree setting, the complexity is $O(n^2)$ which is *still not linear*. Moreover, the memory cost scales like $O(mn)$. Given this, I am quite confused by the following sentence in the introduction: ""I$^2$-GNNs have linear space and time complexity w.r.t. the number of nodes, making it very scalable in real-world applications."" I think the contribution of this paper is largely **overclaimed** and even **incorrect**.

- The authors said that prior subgraph-based GNNs can only count cycles with length no more than 4 while I$^2$-GNNs can count cycles with length no more than 6. However, such a statement is **misleading** and may not be true. In particular, their counterexamples (Appendix D.3) for showing that subgraph GNNs cannot count 5-cycles only hold for very restrictive models, such as Cotta et al., 2021. In contrast, most subgraph GNNs can indeed distinguish the two graphs in Appendix D.3, including the following works:
  - Nested GNNs (Zhang et al., 2021). NGNN can distinguish the two graphs as long as the number of outer GNN layers is more than one.
  - ESAN (Bevilacqua et al., 2022). ESAN can distinguish the two graphs using DSS-WL.
  - SUN (Frasca et al., 2022). SUN can distinguish the two graphs since it is more powerful than ESAN.
  - Ordered Subgraph GNN (Qian et al., 2022). 

  Given this, it is not clear whether subgraph-based GNNs cannot count 5-cycles or 6-cycles. Note that I$^2$-GNNs requires $O(mn)$ memory and $O(m^2)$ computational cost, which are strictly more costly than all prior subgraph GNNs. If prior works already suffice to count 5-cycles and 6-cycles, there may be of little significance to propose a new architecture with more costs.",questionable contribution,-1,,2022-11-11 13:22:12+00:00,False
34,xPkJYRsQGM,Contrastive Learning for Unsupervised Domain Adaptation of Time Series,xmHxITsLHeC,Public comment on the model selection and the paper novelty,['~Vilma_Bertram1'],"**How the authors did hyper-parameter search without target labels**?

Unsupervised Domain Adaptation fundamentally assumes access to labeled source data and fully unlabelled target data. Therefore, how to select the best hyper-parameters with no labels available is still a long standing problem. Nevertheless, the authors of the CLUDA work have not clearly explained how they selected the hyper-parameters and only mentioned that I will quote from the paper appendix *'' We applied early stopping based on the method performance on validation set without the labels from the target domain.''* To the best of my knowledge, early stopping can only be applied with using the target labels, it is really worth clarifying how could the authors use early stopping on the target data without any labels? As model selection can be critical to the performance.

**As most of the UDA method applied to the feature space, methods that applied for visual application should also works well for time series data, why there can be a difference**?
The authors claimed in many venues that there are existing methods that proposed for images but cannot be extended for time series data. Nevertheless, their experiments already dispute this claim, as most of the baseline are already methods proposed for images and has been adapted to time series data.

** How different is your contextual adaptation from the neighbourhood clustering paper?**
The contextual adaptation is a key contribution of the paper as other components including adversarial and MoCO base contrasting already existing. However, the contextual adaptation approach seems to be very similar to ref[1]. Moreover, ref[1] has also been applied for time series data, which significantly question the novelty of the proposed work by using already existing technique. 

[1] Yèche, Hugo, et al. ""Neighborhood contrastive learning applied to online patient monitoring."" International Conference on Machine Learning. PMLR, 2021.",questionable contribution,-1,2022-06-13 15:23:31+00:00,2022-11-06 12:19:41+00:00,True
35,fwn2Mqpy4pS,$\omega$GNNs: Deep Graph Neural Networks Enhanced by Multiple Propagation Operators,XYEK9F2D4cM,Relevant Works,['~Sitao_Luan1'],"Thank the authors for proposing $\omega$GNNs and the idea of learning to mix smoothing and sharpening propagation operators is quite interesting and meaningful. I would like to highlight two relevant works: [1] proposes filterbank GNNs, which use low-pass and high-pass filters to extract the smooth and non-smooth components in graph signals and combine them adaptively; [2] proposes Adaptive Channel Mixing(ACM) framework, which includes low-pass, high-pass and identity channels and uses a node-wise channel mixing mechanism to combine the channel information adaptively. Good luck to your rebuttal.

[1] Luan S, Zhao M, Hua C, et al. Complete the missing half: Augmenting aggregation filtering with diversification for graph convolutional networks[J]. GLfrontier workshop (oral), NeurIPS 2022. arXiv:2008.08844, 2020.

[2] Luan S, Hua C, Lu Q, et al. Revisiting Heterophily For Graph Neural Networks[J]. NeurIPS 2022. arXiv:2210.07606, 2022.
",missing or wrong reference,0,2022-10-31 11:08:04+00:00,2022-11-15 22:32:22+00:00,True
36,WH1yCa0TbB,Learning Diffusion Bridges on Constrained Domains,fZhjWkZ5d4,Existing work using h-transform with diffusion models to construct diffusion bridges,['~James_Thornton1'],"Thank you for this interesting work. I would like to bring your attention to highly relevant work **Simulating Diffusion Bridges with Score Matching** [1], which has not been discussed. 

[1] proposes what appears to be the **same methodology -- using h-transform with diffusion models to create a diffusion bridge** which is at the core of this work, and which this work builds on. I would argue [1] is not concurrent given it was publicly available, with code, about one year ago (November 2021).

[1] **Simulating Diffusion Bridges with Score Matching** (November 2021)
Jeremy Heng, Valentin De Bortoli, Arnaud Doucet, James Thornton, https://arxiv.org/abs/2111.07243
",missing or wrong reference,0,,2022-11-08 11:11:15+00:00,False
37,azCKuYyS74,What Do Self-Supervised Vision Transformers Learn?,OzpzrO6aTuw,Problem with implementing Figure.8,['~Yuan_Liu5'],"As suggested in Line#190, we take the [toolbox](https://colab.research.google.com/github/xxxnell/how-do-vits-work/blob/transformer/fourier_analysis.ipynb) to draw the log amplitude of MoCo-v3 for different depths, but we observe a quite different [trend](https://user-images.githubusercontent.com/30762564/201083840-493fcf3f-4bf2-4ff9-9c2c-314fb8b59a87.jpg). Could you please give me some advice about how to re-implementing Figure.8. Thanks in advance!

PS: the ckpt of MoCo-v3 is from [link](https://dl.fbaipublicfiles.com/moco-v3/vit-b-300ep/vit-b-300ep.pth.tar).",reproducibility issue,-1,,2022-11-10 11:57:01+00:00,False
38,azCKuYyS74,What Do Self-Supervised Vision Transformers Learn?,wSUuVJ1m1v,How to calculate normalized mutual information?,['~Haoqing_Wang1'],"Wonderful job! I want to know how to calculate normalized mutual information. I calculate it following the paper, but I find the NMI of MoCo is not as small as shown in the paper. In fact, MoCo has the same NMI with SimMIM at lower layers but very small NMI at the top layers. So  what is the complete equation for calculate normalized mutual information? Thanks very much!",reproducibility issue,-1,,2022-11-17 16:02:30+00:00,False
39,Peot1SFDX0,Preference Transformer: Modeling Human Preferences using Transformers for RL,kx3Vsedro2,Comment on the extension to Non Markovian Rewards,['~Mudit_Verma2'],"The paper extends the modeling of human binary preferences with Non Markovian rewards, and then use Transformers to capture the weights while computing rewards for a history. Similar work has been done in the past : https://arxiv.org/abs/2210.09151 where such weights are used as a soft prior to best approximate the possible markovian reward. ",missing or wrong reference,0,,2022-11-09 19:12:13+00:00,False
40,tVkrbkz42vc,PAC-NeRF: Physics Augmented Continuum Neural Radiance Fields for Geometry-Agnostic System Identification,yg19VeyRBe,Is it possible to compare the model with another NeRF-based fluid renderer?,['~Yunbo_Wang1'],"Hi authors,

Interesting paper and solid experiments! 

I am working on intuitive physics also, and I note that the general idea of solving the inverse problem by integrating a differentiable dynamics model with an implicit neural renderer is somewhat related to the following work. If possible, could you please compare them for particle estimation, novel view synthesis, and rendering quality at future time steps?

[Guan et al., 2022] NeuroFluid: Fluid dynamics grounding with particle-driven neural radiance fields. ICML 2022.

Thanks!",missing or wrong reference,0,,2022-11-16 07:10:47+00:00,False
41,eExA3Mk0Dxp,Robust Multi-Agent Reinforcement Learning against Adversaries on Observation,bbq3zHW4r3q,Drawbacks and Shortcomings of Adversarial Training,['~Ezgi_Korkmaz2'],"The below papers discuss the drawbacks and the shortcomings of adversarial training in deep reinforcement learning. Thus, it would be highly relevant to mention these studies below when referring to the adversarial deep reinforcement learning field; in particular, to adversarial training in deep reinforcement learning. 

[1] Deep Reinforcement Learning Policies Learn Shared Adversarial Features Across MDPs. AAAI Conference on Artificial Intelligence, 2022.

[2]  Investigating Vulnerabilities of Deep Neural Policies. Conference on Uncertainty in Artificial Intelligence (UAI), 2021.",missing or wrong reference,0,,2022-11-19 11:31:50+00:00,False
42,SJ0Lde3tRL,Extreme Q-Learning: MaxEnt RL without Entropy,T4MHC0ZuPix,Missing citations?,['~Sobhan_Mohammadpour1'],"https://www.atlantis-press.com/journals/jsta/125935600/view (near equation 5) showed that the LINEX function (eq. 8 in this paper) corresponds to a Gumbel regression, i think they should cite that paper and also call the function LINEX as it's fairly well known in the statistical community. Otherwise it was a very interesting read.",missing or wrong reference,0,,2022-11-07 22:03:30+00:00,False
43,flap0Bo6TK_,Graph Neural Network-Inspired Kernels for Gaussian Processes in Semi-Supervised Learning,ngCpDl6Povv,Misattribution of datasets,['~Benedek_Andras_Rozemberczki1'],"The paper misattributed the authorship of the Chameleons and Squirrels datasets. These datasets were proposed in this ICLR submission:

https://openreview.net/forum?id=HJxiMAVtPH

The Pei et al. paper cited by the authors took the Squirrel and Chameleons datasets and used those for benchmarking, but had nothing to do with the creation of the datasets. The correct citation for the paper which proposed the datasets is:

```bibtex
>@article{musae,
          author = {Rozemberczki, Benedek and Allen, Carl and Sarkar, Rik},
          title = {{Multi-Scale Attributed Node Embedding}},
          journal = {Journal of Complex Networks},
          volume = {9},
          number = {2},
          year = {2021},
}
```",missing or wrong reference,0,2023-02-12 01:07:56+00:00,2022-11-05 20:11:36+00:00,False
44,EKpMeEV0hOo,SimPer: Simple Self-Supervised Learning of Periodic Targets,FkmdEjA5pDt,Comparison with related works of periodic self-supervised learning?,['~Sudhakar_Kumawat3'],"It seems that contrastive learning [A,B,C] has already been widely used in periodic self-supervised learning.

[A] The Way to my Heart is through Contrastive Learning: Remote Photoplethysmography from Unlabelled Video, ICCV 2021

[B] Self-supervised Representation Learning Framework for Remote Physiological Measurement using Spatiotemporal Augmentation Loss, AAAI 2022

[C] Contrast-Phys: Unsupervised Video-based Remote Physiological Measurement via Spatiotemporal Contrast, ECCV 2022

It should mention in the related work and highlight the difference and novelty explicitly. 

It seems the results in Table 4 and Table 5 are worse than [A][C].",questionable contribution,-1,2022-10-06 17:59:38+00:00,2022-11-15 16:14:41+00:00,True
